rank,intent_score,tool_slug,variants,urls,owner,next_experiment
1,100,mortgage-calculator,252,253,,
2,100,fha-mortgage-calculator,1,2,,
3,100,heloc-calculator,1,2,,
4,100,mortgage-points-calculator,1,2,,
5,100,refinance-calculator,1,2,,
6,100,va-mortgage-calculator,1,2,,
7,95,life-insurance-needs-calculator,1,2,,
8,90,auto-loan-calculator,1,2,,
9,90,personal-loan-calculator,1,2,,
10,90,student-loan-calculator,1,2,,
11,88,credit-card-payoff-calculator,1,2,,
12,85,401k-calculator,10,11,,
13,85,retirement-calculator,10,11,,
14,85,401k-contribution-calculator,1,2,,
15,85,compound-interest-calculator,1,2,,
16,85,dividend-calculator,1,2,,
17,85,investment-calculator,1,2,,
18,85,investment-property-calculator,1,2,,
19,85,retirement-age-calculator,1,2,,
20,80,paycheck-calculator,255,256,,
21,80,salary-after-tax-calculator,255,256,,
22,80,property-tax-calculator,240,241,,
23,80,sales-tax-calculator,240,241,,
24,80,tax-calculator,240,241,,
25,80,salary-percentile-calculator,16,17,,
26,80,salary-to-hourly-calculator,16,17,,
27,80,hourly-to-salary-calculator,1,2,,
28,80,salary-raise-calculator,1,2,,
29,80,self-employment-tax-calculator,1,2,,
30,80,take-home-pay-calculator,1,2,,
31,80,tax-bracket-calculator,1,2,,
32,80,tax-refund-calculator,1,2,,
33,70,budget-calculator,1,2,,
34,70,emergency-fund-calculator,1,2,,
35,70,net-worth-calculator,1,2,,
36,70,savings-bonds-calculator,1,2,,
37,70,savings-goal-calculator,1,2,,
38,70,savings-rate-calculator,1,2,,
39,60,home-affordability-calculator,255,256,,
40,60,closing-costs-calculator,1,2,,
41,50,blog,21,22,,
42,50,guides,19,20,,
43,50,calculators,5,6,,
44,50,529-calculator,1,2,,
45,50,about,1,2,,
46,50,amortization-schedule-calculator,1,2,,
47,50,body-fat-calculator,1,2,,
48,50,break-even-calculator,1,2,,
49,50,capital-gains-calculator,1,2,,
50,50,car-affordability-calculator,1,2,,
